Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M03	con50	label	2000tt	1	1	P09	#471#91#62#493#392#265	#106#622#144#481#345#608	#374#155#51#249#422#386	#	#	#	#353#532#178#125#40#286	#	#
M03	con50	label	2000tt	2	1	P09	#471#91#62#493#392#265	#106#622#144#481#345#608	#374#155#51#249#422#386	#	#	#	#353#532#178#125#40#286	#	#
M03	con50	label	2000tt	3	1	P09	#91#493	#144	#386	#	#	#	#	#	#
M03	con50	label	2000tt	4	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	5	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	6	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	7	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	8	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	9	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	10	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	11	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	12	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	1	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	2	P09	#111#279#546#499#232	#575#585#456#31	#587#249#302	#	#231	#287#303	#79#512#100#226	#	#460#64#491#415#615
M03	con50	label	2000tt	3	2	P09	#111#279#546#232	#575#456#31#585	#302#587#249	#	#231	#287#303	#79#512#100#226	#	#16#563#10#348
M03	con50	label	2000tt	4	2	P09	#	#	#	#	#	#287	#	#	#
M03	con50	label	2000tt	5	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	6	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	7	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	8	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	9	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	10	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	11	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	12	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	2	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	3	P09	#468#464#12#388#368	#514#583#621	#151#519#447	#	#	#	#86#126#81#510#206#459	#8	#397#128#4#92#40#142
M03	con50	label	2000tt	3	3	P09	#468#464#12#388#368	#514#583#621	#151#519#447	#	#	#	#86#126#81#510#206#459	#	#354
M03	con50	label	2000tt	4	3	P09	#464#468#368	#	#519	#	#	#	#	#	#467#564
M03	con50	label	2000tt	5	3	P09	#468#368	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	6	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	7	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	8	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	9	3	P09	#	#	#	#	#	#	#	#	#264
M03	con50	label	2000tt	10	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	11	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	12	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	3	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	4	P09	#434#417#511#494	#50#514	#20#599#543#379	#	#	#493	#440#288#544#474	#	#316#119#418#402#596#337#382
M03	con50	label	2000tt	3	4	P09	#434#417#511#494	#514	#20#599#543#379	#	#	#493	#440#288#544#474	#	#441#236#337#418#402#134
M03	con50	label	2000tt	4	4	P09	#417	#50	#543#20	#	#	#	#	#	#461#53#436
M03	con50	label	2000tt	5	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	6	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	7	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	8	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	9	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	10	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	11	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	12	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	4	P09	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	4	P09	#	#	#	#	#	#	#	#	#
