Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M09	con50	label	2000tt	1	1	P07	#372#61#57#284#182#349	#194#162#395	#613#42#202#79#359	#317	#621	#	#489#565#253#101#594#450#221#312	#	#
M09	con50	label	2000tt	2	1	P07	#372#61#57#284#182#349	#194#162#395	#613#42#202#79#359	#317	#621	#	#489#565#253#101#594#450#221#312	#	#
M09	con50	label	2000tt	3	1	P07	#372#61#57#284#182#349	#395	#359	#317	#621	#	#489#565#221	#	#
M09	con50	label	2000tt	4	1	P07	#182#61	#395	#359	#317	#621	#	#489#565	#	#
M09	con50	label	2000tt	5	1	P07	#284	#	#359	#317	#621	#	#489#565	#	#
M09	con50	label	2000tt	6	1	P07	#61	#	#	#	#621	#	#489#565	#	#
M09	con50	label	2000tt	7	1	P07	#	#	#	#	#621	#	#489#565	#	#
M09	con50	label	2000tt	8	1	P07	#	#	#	#	#	#	#565	#	#
M09	con50	label	2000tt	9	1	P07	#	#	#	#	#	#	#565	#	#
M09	con50	label	2000tt	10	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	11	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	12	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	13	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	1	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	2	2	P07	#497#284	#164#92	#177#412	#336	#	#	#230#400#233#598#578#181#466#251#569#490#366	#366	#180#155#298#153#591
M09	con50	label	2000tt	3	2	P07	#497#284	#164#92	#177#412	#336	#	#	#230#400#233#598#578#43#181#466#251#569#490#366	#366	#589#478#595#58
M09	con50	label	2000tt	4	2	P07	#	#164	#177	#336	#	#	#43#230#466#569#400#490#366#598	#366	#447
M09	con50	label	2000tt	5	2	P07	#	#	#	#336	#	#	#43#230#466#569#400#490#366#598	#366	#
M09	con50	label	2000tt	6	2	P07	#	#	#	#336	#	#	#43#569#400#490#366	#366	#
M09	con50	label	2000tt	7	2	P07	#	#	#	#	#	#	#43#569	#	#
M09	con50	label	2000tt	8	2	P07	#	#	#	#	#	#	#43#569	#	#
M09	con50	label	2000tt	9	2	P07	#	#	#	#	#	#	#43#569	#	#
M09	con50	label	2000tt	10	2	P07	#	#	#	#	#	#	#569	#	#
M09	con50	label	2000tt	11	2	P07	#	#	#	#	#	#	#598#569	#	#
M09	con50	label	2000tt	12	2	P07	#	#	#	#	#	#	#569	#	#
M09	con50	label	2000tt	13	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	2	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	2	3	P07	#	#	#107	#141	#	#	#613#542#594#450#412#566#293#326#195#346#390#473	#	#597#60#376#248#562
M09	con50	label	2000tt	3	3	P07	#	#	#107	#	#	#	#542#594#450#412#566#293#326#16#195#228#346#390#473	#	#347#513#521#595#273#46#469#417#493#48
M09	con50	label	2000tt	4	3	P07	#	#	#	#141	#	#	#613#542#594#450#412#566#293#326#16#228#346#390#473	#	#374#417#60#248#393
M09	con50	label	2000tt	5	3	P07	#	#	#	#141	#	#	#613#542#594#450#412#566#326#16#228#346#390#473	#	#
M09	con50	label	2000tt	6	3	P07	#	#	#	#	#	#	#613#542#594#450#412#566#326#16#228#346#390#473	#	#60
M09	con50	label	2000tt	7	3	P07	#	#	#	#	#	#	#613#542#594#450#412#566#326#16#228#346#390#473	#	#
M09	con50	label	2000tt	8	3	P07	#	#	#	#	#	#	#613#542#594#450#412#566#16#228#346#390#473	#	#
M09	con50	label	2000tt	9	3	P07	#	#	#	#	#	#	#16#542#594#450#566#346#390#473	#	#
M09	con50	label	2000tt	10	3	P07	#	#	#	#	#	#	#16#542#594#450#566#346	#	#
M09	con50	label	2000tt	11	3	P07	#	#	#	#	#	#	#16#542#594#450#346	#	#
M09	con50	label	2000tt	12	3	P07	#	#	#	#	#	#	#542#594#450#346	#	#
M09	con50	label	2000tt	13	3	P07	#	#	#	#	#	#	#346#450	#	#
M09	con50	label	2000tt	14	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	3	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	2	4	P07	#591	#189	#204	#	#	#	#300#546#419#566#518#422#449#556#331#468#567#490#590	#	#452#22#557
M09	con50	label	2000tt	3	4	P07	#591	#189	#204	#	#	#	#44#300#546#419#518#422#449#556#331#468#567#590	#	#81#107#585#409#570#140
M09	con50	label	2000tt	4	4	P07	#	#	#	#	#	#	#44#300#546#419#566#518#422#449#331#468#567#490#590	#	#214#585#13#557#22#140
M09	con50	label	2000tt	5	4	P07	#	#	#	#	#	#	#44#300#546#419#566#518#422#449#567#468#490#590	#	#22#140
M09	con50	label	2000tt	6	4	P07	#	#	#	#	#	#	#44#300#546#419#566#518#422#449#567#468	#	#140#585
M09	con50	label	2000tt	7	4	P07	#	#	#	#	#	#	#44#300#546#419#566#518#422#449#567#468	#	#585
M09	con50	label	2000tt	8	4	P07	#	#	#	#	#	#	#44#300#546#419#566#518#422#449#567#468	#	#
M09	con50	label	2000tt	9	4	P07	#	#	#	#	#	#	#44#422#449#546#567#468#419#566#518	#	#
M09	con50	label	2000tt	10	4	P07	#	#	#	#	#	#	#44#422#546#567#468#566#518	#	#
M09	con50	label	2000tt	11	4	P07	#	#	#	#	#	#	#422#546#567#566#518	#	#
M09	con50	label	2000tt	12	4	P07	#	#	#	#	#	#	#546	#	#
M09	con50	label	2000tt	13	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	4	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	2	5	P07	#55#107	#	#609	#	#	#	#513#472#440#546#517#7#437#425#527#507#461	#461	#21#158
M09	con50	label	2000tt	3	5	P07	#55#107	#	#609	#	#	#	#513#472#440#546#517#7#437#425#527#507#17#461#516	#461#540	#510#521#538#46#366#616#398#435#615#370#380#255#422#377#483#368#569#471#617#494#520#495#410
M09	con50	label	2000tt	4	5	P07	#	#	#609	#	#	#	#513#472#437#440#17#461#517#516	#461	#398#158
M09	con50	label	2000tt	5	5	P07	#	#	#609	#	#	#	#513#472#440#17#461#517#516	#461	#255
M09	con50	label	2000tt	6	5	P07	#	#	#	#	#	#	#513#472#440#17#461#517#516	#461	#
M09	con50	label	2000tt	7	5	P07	#	#	#	#	#	#	#513#472#440#17#517#516	#	#
M09	con50	label	2000tt	8	5	P07	#	#	#	#	#	#	#472#440#17	#	#
M09	con50	label	2000tt	9	5	P07	#	#	#	#	#	#	#472#440#17	#	#
M09	con50	label	2000tt	10	5	P07	#	#	#	#	#	#	#17	#	#
M09	con50	label	2000tt	11	5	P07	#	#	#	#	#	#	#17	#	#
M09	con50	label	2000tt	12	5	P07	#	#	#	#	#	#	#17	#	#
M09	con50	label	2000tt	13	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	5	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	6	P07	#178#97#3#363#231#162	#39#299#135#538#190#515	#244#93#614#501#88#493	#	#	#	#353#351#486#592#576#385	#	#
M09	con50	label	2000tt	2	6	P07	#178#97#3#363#231#162	#39#299#135#538#190#515	#244#93#614#501#88#493	#	#	#	#353#351#486#592#576#385	#	#
M09	con50	label	2000tt	3	6	P07	#363	#538#190#515	#88#493	#	#	#	#351#486#592#385	#	#
M09	con50	label	2000tt	4	6	P07	#	#39#538#515	#93#614	#	#	#	#592	#	#
M09	con50	label	2000tt	5	6	P07	#363	#39#515	#493	#	#	#	#592	#	#
M09	con50	label	2000tt	6	6	P07	#363	#538#39	#614#493	#	#	#	#592	#	#
M09	con50	label	2000tt	7	6	P07	#	#39	#93#614#493	#	#	#	#592	#	#
M09	con50	label	2000tt	8	6	P07	#	#39	#	#	#	#	#	#	#
M09	con50	label	2000tt	9	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	10	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	11	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	12	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	13	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	20	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	21	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	22	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	23	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	24	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	25	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	26	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	27	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	28	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	29	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	30	6	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	1	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	2	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	3	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	4	7	P07	#	#	#	#	#248	#	#498#369	#498#295#379#248#54#369	#
M09	con50	label	2000tt	5	7	P07	#	#	#	#	#	#	#498#369	#498#342#369	#
M09	con50	label	2000tt	6	7	P07	#	#	#	#	#248	#	#498#369	#498#342#295#311#248#369	#
M09	con50	label	2000tt	7	7	P07	#	#	#	#	#248	#	#498#369	#498#248#311#369	#
M09	con50	label	2000tt	8	7	P07	#	#	#	#	#248	#	#369	#248#342#369	#
M09	con50	label	2000tt	9	7	P07	#	#	#	#	#	#	#369	#369	#
M09	con50	label	2000tt	10	7	P07	#	#	#	#	#	#	#369	#369	#
M09	con50	label	2000tt	11	7	P07	#	#	#	#	#248	#	#	#311#248	#
M09	con50	label	2000tt	12	7	P07	#	#	#	#	#	#	#	#311	#
M09	con50	label	2000tt	13	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	14	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	15	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	16	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	17	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	18	7	P07	#	#	#	#	#	#	#	#	#
M09	con50	label	2000tt	19	7	P07	#	#	#	#	#	#	#	#	#
