Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M01	con50	label	2000tt	1	1	P08	#119#309#148#224#315	#177#434#399#451	#542#7#590#519#528	#604	#	#526#620	#347#370#311#23#429#611#9	#	#
M01	con50	label	2000tt	2	1	P08	#119#309#148#224#315	#177#434#399#451	#542#7#590#519#528	#604	#	#526#620	#347#370#311#23#429#611#9	#	#
M01	con50	label	2000tt	3	1	P08	#119#148#224#315	#	#519#528	#604	#	#526#620	#9#23	#	#
M01	con50	label	2000tt	4	1	P08	#148#315	#	#528	#	#	#620	#611	#	#
M01	con50	label	2000tt	5	1	P08	#	#	#	#604	#	#	#611	#	#
M01	con50	label	2000tt	6	1	P08	#	#	#	#604	#	#620	#611	#	#
M01	con50	label	2000tt	7	1	P08	#	#	#	#	#	#526	#611	#	#
M01	con50	label	2000tt	8	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	9	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	10	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	1	P08	#	#	#7	#	#	#	#	#	#
M01	con50	label	2000tt	14	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	1	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	2	P08	#321#367#199	#383#73#434#571	#544	#502#374#401	#	#	#107#102#592#619#27#39#621#421	#	#278#573#612#522#507#445#407#203#402
M01	con50	label	2000tt	3	2	P08	#367#199#321	#434#383#73#571	#544	#502#374#401	#	#	#107#102#592#619#27#39#621#421	#	#535#603#495
M01	con50	label	2000tt	4	2	P08	#199#321	#571	#544	#	#	#	#107#27#592#39	#	#
M01	con50	label	2000tt	5	2	P08	#	#	#544	#	#	#	#39#27#592	#	#603
M01	con50	label	2000tt	6	2	P08	#	#	#	#	#	#	#39#592	#	#603
M01	con50	label	2000tt	7	2	P08	#	#	#	#	#	#	#592	#	#603
M01	con50	label	2000tt	8	2	P08	#	#	#	#	#	#	#592	#	#
M01	con50	label	2000tt	9	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	10	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	2	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	3	P08	#	#	#	#62	#	#	#618#600#154#302#599#500#329#614#442#2	#	#352#582#433#200
M01	con50	label	2000tt	3	3	P08	#	#	#	#62	#	#	#618#600#154#302#111#500#329#614#109#442#2	#522	#547#33#301#587#495#123#528
M01	con50	label	2000tt	4	3	P08	#	#	#	#62	#	#	#111#618#600#614#154#109#442#599#2	#	#565#213
M01	con50	label	2000tt	5	3	P08	#	#	#	#62	#	#	#111#618#600#614#154#109#442#599#2	#	#565
M01	con50	label	2000tt	6	3	P08	#	#	#	#	#	#	#111#500#618#614#109#599	#	#565
M01	con50	label	2000tt	7	3	P08	#	#	#	#62	#	#	#111#614#109#599	#	#
M01	con50	label	2000tt	8	3	P08	#	#	#	#	#	#	#111#614#154#109#599	#	#
M01	con50	label	2000tt	9	3	P08	#	#	#	#	#	#	#111#618#614#109#599	#	#
M01	con50	label	2000tt	10	3	P08	#	#	#	#	#	#	#111#109#599	#	#
M01	con50	label	2000tt	11	3	P08	#	#	#	#	#	#	#111#109	#	#
M01	con50	label	2000tt	12	3	P08	#	#	#	#	#	#	#111#109	#	#
M01	con50	label	2000tt	13	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	3	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	4	P08	#	#	#	#	#	#529#481	#56#64#521#46#285#138#110#610#87#14#17#10#93#133	#	#63
M01	con50	label	2000tt	3	4	P08	#	#	#	#	#	#	#64#521#46#138#110#610#87#14#17#93#133	#	#489#3#152#177#170#603#59#541#430
M01	con50	label	2000tt	4	4	P08	#	#	#	#	#	#529#481	#56#64#46#285#138#110#610#87#14#17#10#256#93#133	#	#588#66#616#7
M01	con50	label	2000tt	5	4	P08	#	#	#	#	#	#529#481	#56#64#46#285#138#110#610#87#14#17#10#256#93#133	#	#
M01	con50	label	2000tt	6	4	P08	#	#	#	#	#	#481	#56#64#46#285#138#110#610#87#14#10#256#93#133	#	#
M01	con50	label	2000tt	7	4	P08	#	#	#	#	#	#	#56#64#46#285#138#110#87#14#17#10#256#133	#	#
M01	con50	label	2000tt	8	4	P08	#	#	#	#	#	#	#56#87#46#14#285#256#138#110#133	#	#
M01	con50	label	2000tt	9	4	P08	#	#	#	#	#	#	#14#256#138#110	#	#
M01	con50	label	2000tt	10	4	P08	#	#	#	#	#	#	#256#138#14#110	#	#
M01	con50	label	2000tt	11	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	4	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	5	P08	#326	#608	#	#14	#	#32	#458#57#355#288#9#266#575#3#20#240#23#567#39#164#186#169	#	#555#374#227
M01	con50	label	2000tt	3	5	P08	#326	#608	#	#14	#	#32	#458#57#355#288#9#266#575#3#20#240#23#567#39#164#186#169	#	#92#75#159#94
M01	con50	label	2000tt	4	5	P08	#326	#608	#	#14	#	#	#57#9#3#20#240#23#567#39#164#186	#	#555#94
M01	con50	label	2000tt	5	5	P08	#	#608	#	#	#	#32	#458#57#20#240#567#39#164#186#9	#	#94
M01	con50	label	2000tt	6	5	P08	#	#	#	#	#	#	#57#20#240#567#39#164#186#288	#	#94
M01	con50	label	2000tt	7	5	P08	#	#	#	#	#	#	#57#240#567#39#186#288	#	#
M01	con50	label	2000tt	8	5	P08	#	#	#	#	#	#	#39#186#567	#	#
M01	con50	label	2000tt	9	5	P08	#	#	#	#	#	#	#39	#	#
M01	con50	label	2000tt	10	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	5	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	6	P08	#222#586#426#189#7#410	#37#380#78#9#507#277	#120#70#468#160#173#403	#	#	#	#581#349#209#142#187#617	#	#
M01	con50	label	2000tt	2	6	P08	#222#586#426#189#7#410	#37#380#78#9#507#277	#120#70#468#160#173#403	#	#	#	#581#349#209#142#187#617	#	#
M01	con50	label	2000tt	3	6	P08	#586#426#222#189#7#410	#9#277	#120#468#403	#	#	#	#209#187#581	#	#
M01	con50	label	2000tt	4	6	P08	#586#189#7	#9	#	#	#	#	#209#187	#	#
M01	con50	label	2000tt	5	6	P08	#586#189	#	#	#	#	#	#209#187	#	#
M01	con50	label	2000tt	6	6	P08	#189#410	#9	#120	#	#	#	#209#187	#	#
M01	con50	label	2000tt	7	6	P08	#	#	#	#	#	#	#209#187	#	#
M01	con50	label	2000tt	8	6	P08	#586	#	#	#	#	#	#209	#	#
M01	con50	label	2000tt	9	6	P08	#	#	#	#	#	#	#209	#	#
M01	con50	label	2000tt	10	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	6	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	3	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	4	7	P08	#	#	#	#	#	#	#593#73#356#35#436	#593#372#73#356#35#436	#
M01	con50	label	2000tt	5	7	P08	#	#	#	#	#	#	#593#73#356#35#436	#593#73#356#187#35#436	#
M01	con50	label	2000tt	6	7	P08	#	#	#	#	#	#	#593#73#356#35#436	#593#73#356#35#436	#
M01	con50	label	2000tt	7	7	P08	#	#	#	#	#	#	#593#73#356#35#436	#575#593#73#356#35#436	#
M01	con50	label	2000tt	8	7	P08	#	#	#	#	#	#	#593#73#356	#593#372#73#356	#
M01	con50	label	2000tt	9	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	10	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	26	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	27	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	28	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	29	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	30	7	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	1	8	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	2	8	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	3	8	P08	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	4	8	P08	#	#	#	#	#329	#	#513#597#5#36#599	#590	#318#593#57#12#13#84#131#91#82#573#585#614#483#607#281#603#165#10#108#186#155#78#572#587#562#339#609#132#616#32#111#589#588#592#258#584#123
