Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M04	con50	label	2000tt	1	1	P08	#119#309#148#604#224#315	#434#177#526#451#399	#620#542#7#590#519#528	#	#	#	#347#370#311#23#429#611#9	#	#
M04	con50	label	2000tt	2	1	P08	#119#309#148#604#224#315	#434#177#526#451#399	#620#542#7#590#519#528	#	#	#	#347#370#311#23#429#611#9	#	#
M04	con50	label	2000tt	3	1	P08	#119#148#604#315	#526	#620#519#528	#	#	#	#9#23	#	#
M04	con50	label	2000tt	4	1	P08	#148	#	#620#528	#	#	#	#611	#	#
M04	con50	label	2000tt	5	1	P08	#	#526	#	#	#	#	#611	#	#
M04	con50	label	2000tt	6	1	P08	#604	#	#620	#	#	#	#611	#	#
M04	con50	label	2000tt	7	1	P08	#	#526	#620	#	#	#	#611	#	#
M04	con50	label	2000tt	8	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	9	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	10	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	11	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	12	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	13	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	14	1	P08	#	#	#7	#	#	#	#	#	#
M04	con50	label	2000tt	15	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	16	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	17	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	18	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	19	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	20	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	21	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	22	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	23	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	24	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	25	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	26	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	27	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	28	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	29	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	30	1	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	1	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	2	2	P08	#321#367#199	#383#73#434#571	#544#402	#619	#	#621	#502#374#107#401#102#27#592#39#421	#	#278#612#522#507#407#203
M04	con50	label	2000tt	3	2	P08	#603#321#367#199	#434#383#73#571	#544	#619	#	#621	#502#374#107#401#102#27#592#39#421	#	#535#495#612
M04	con50	label	2000tt	4	2	P08	#	#571	#544	#	#	#	#39#107#27#592	#	#507
M04	con50	label	2000tt	5	2	P08	#603	#	#544	#	#	#	#39#107#27#592	#	#
M04	con50	label	2000tt	6	2	P08	#603	#	#	#	#	#	#39#592	#	#
M04	con50	label	2000tt	7	2	P08	#	#	#	#	#	#	#592	#	#
M04	con50	label	2000tt	8	2	P08	#	#	#	#	#	#	#592	#	#
M04	con50	label	2000tt	9	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	10	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	11	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	12	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	13	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	14	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	15	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	16	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	17	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	18	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	19	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	20	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	21	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	22	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	23	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	24	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	25	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	26	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	27	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	28	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	29	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	30	2	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	1	3	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	2	3	P08	#200	#	#	#	#	#500	#618#600#154#302#599#329#62#614#442#2	#	#433#438#352#582
M04	con50	label	2000tt	3	3	P08	#	#	#	#	#	#500	#618#600#154#302#111#329#62#614#109#442#2	#	#547#66#587#123#528
M04	con50	label	2000tt	4	3	P08	#	#	#	#	#	#500	#618#600#154#599#111#62#614#109#442#2	#	#565#33#213
M04	con50	label	2000tt	5	3	P08	#	#	#	#	#	#	#111#618#62#600#614#154#109#442#599#2	#	#565
M04	con50	label	2000tt	6	3	P08	#	#	#	#	#	#500	#111#618#62#614#109#599	#	#565
M04	con50	label	2000tt	7	3	P08	#	#	#	#	#	#	#111#62#614#109#599	#	#
M04	con50	label	2000tt	8	3	P08	#	#	#	#	#	#	#111#614#109#599	#	#
M04	con50	label	2000tt	9	3	P08	#	#	#	#	#	#	#111#618#614#109#599	#	#
M04	con50	label	2000tt	10	3	P08	#	#	#	#	#	#	#111#109#599	#	#
M04	con50	label	2000tt	11	3	P08	#	#	#	#	#	#	#111#109	#	#
M04	con50	label	2000tt	12	3	P08	#	#	#	#	#	#	#111#109	#	#
M04	con50	label	2000tt	13	3	P08	#	#	#	#	#	#	#111	#	#
M04	con50	label	2000tt	14	3	P08	#	#	#	#	#	#	#	#	#
M04	con50	label	2000tt	15	3	P08	#	#	#	#	#	#	#	#	#
