Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M04	pair33sc	4000tt	11	P02	#	#	#	#	#	#	#168#274#
M04	pair33sc	4000tt	12	P02	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P03	#44#169#306#501#	#34#321#333#406#	#30#128#164#383#	#212#412#575#585#	#63#185#414#605#	#121#375#459#591#	#
M04	pair33sc	4000tt	2	P03	#165#579#584#	#17#179#268#370#409#537#624#	#186#209#262#419#528#565#601#605#	#441#462#484#564#	#55#236#367#609#	#21#	#
M04	pair33sc	4000tt	3	P03	#466#569#605#	#290#376#383#443#485#500#535#	#58#133#178#215#286#357#484#585#	#338#518#	#4#7#79#111#	#577#590#	#394#
M04	pair33sc	4000tt	4	P03	#2#7#310#356#476#480#	#95#415#442#445#516#566#570#	#300#333#391#398#450#460#482#	#72#471#	#302#327#406#	#376#387#396#	#
M04	pair33sc	4000tt	5	P03	#100#129#224#282#327#399#505#	#170#255#291#296#410#438#460#491#569#	#151#331#371#378#	#441#495#	#80#352#406#581#	#348#446#	#
M04	pair33sc	4000tt	6	P03	#114#199#202#355#	#17#45#364#442#	#217#324#436#500#	#2#136#289#544#	#77#254#432#529#	#296#306#319#513#	#
M04	pair33sc	4000tt	7	P03	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P03	#	#	#	#	#	#	#316#
M04	pair33sc	4000tt	9	P03	#	#	#387#	#	#342#	#437#	#489#
M04	pair33sc	4000tt	10	P03	#	#267#450#567#	#510#	#	#	#315#	#365#
M04	pair33sc	4000tt	11	P03	#	#	#	#	#	#	#435#560#
M04	pair33sc	4000tt	12	P03	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P04	#302#455#504#587#	#245#465#521#615#	#67#188#206#507#	#85#171#400#625#	#87#115#200#397#	#208#228#516#527#	#
M04	pair33sc	4000tt	2	P04	#8#85#89#452#497#506#553#606#	#134#339#458#615#618#	#144#352#519#	#163#449#	#67#154#174#231#	#32#36#226#256#304#383#	#
M04	pair33sc	4000tt	3	P04	#3#41#64#80#176#373#526#553#	#65#423#444#491#584#614#	#118#199#216#	#168#196#224#248#	#43#115#	#153#307#396#596#	#
M04	pair33sc	4000tt	4	P04	#301#326#330#334#479#555#	#93#274#324#328#385#444#483#543#	#67#148#249#256#319#346#600#	#386#563#	#55#399#	#195#	#
M04	pair33sc	4000tt	5	P04	#17#259#307#402#510#625#	#70#241#347#372#520#528#538#	#104#442#483#576#	#244#530#	#322#353#394#423#434#	#225#267#271#417#	#
M04	pair33sc	4000tt	6	P04	#109#333#441#509#	#20#311#429#558#	#240#541#556#599#	#407#413#423#591#	#100#281#472#475#	#50#168#267#300#	#
M04	pair33sc	4000tt	7	P04	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P04	#	#	#	#	#	#	#
M04	pair33sc	4000tt	9	P04	#9#70#512#587#617#	#	#	#147#	#175#260#439#551#	#	#
M04	pair33sc	4000tt	10	P04	#121#411#441#585#	#	#	#166#	#243#479#534#577#	#	#
M04	pair33sc	4000tt	11	P04	#	#	#	#	#	#	#
M04	pair33sc	4000tt	12	P04	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P05	#161#340#506#512#	#48#191#545#581#	#100#126#138#579#	#290#299#401#568#	#203#254#361#443#	#210#288#413#428#	#
M04	pair33sc	4000tt	2	P05	#271#319#389#413#424#490#	#13#214#451#571#	#71#104#193#207#309#	#356#421#	#106#355#461#465#	#229#235#362#365#384#	#517#
M04	pair33sc	4000tt	3	P05	#340#441#449#	#342#	#57#156#231#331#	#369#400#420#622#	#228#552#	#258#285#313#368#419#	#271#467#
M04	pair33sc	4000tt	4	P05	#204#441#513#550#554#564#581#	#80#367#595#	#23#43#111#286#315#454#590#	#34#166#522#616#	#279#	#202#238#388#407#	#
M04	pair33sc	4000tt	5	P05	#189#302#324#432#486#507#582#589#	#11#36#103#117#136#487#	#87#162#209#263#314#	#7#89#	#179#377#386#597#	#229#464#	#
M04	pair33sc	4000tt	6	P05	#98#224#457#607#	#159#172#590#611#	#191#242#264#618#	#29#38#110#571#	#71#282#479#588#	#211#304#489#527#	#
M04	pair33sc	4000tt	7	P05	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P05	#	#	#	#	#	#187#384#404#466#554#	#
M04	pair33sc	4000tt	9	P05	#363#444#487#520#	#	#	#	#	#116#131#138#205#261#	#
M04	pair33sc	4000tt	10	P05	#	#	#	#	#	#107#233#334#386#	#371#
M04	pair33sc	4000tt	11	P05	#	#	#	#	#	#365#412#433#462#513#	#
M04	pair33sc	4000tt	12	P05	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P06	#31#83#431#461#	#24#307#540#547#	#219#264#296#584#	#310#352#367#537#	#88#198#404#419#	#80#205#373#595#	#
M04	pair33sc	4000tt	2	P06	#11#336#390#478#505#	#16#151#299#513#568#	#53#188#267#276#346#444#479#578#	#425#434#436#559#	#243#325#532#	#6#545#552#	#
M04	pair33sc	4000tt	3	P06	#36#38#333#426#468#556#559#588#	#81#322#395#405#425#450#517#595#	#76#103#119#132#295#365#598#	#240#252#542#	#330#	#5#152#501#592#	#
M04	pair33sc	4000tt	4	P06	#149#190#577#623#	#15#18#408#502#527#530#624#	#177#243#456#	#75#150#169#228#	#49#69#97#128#270#	#316#490#580#621#	#223#
M04	pair33sc	4000tt	5	P06	#31#34#49#245#490#	#435#537#562#565#587#	#21#148#272#	#9#65#97#144#223#594#	#1#4#75#131#248#	#45#53#101#457#467#545#	#
M04	pair33sc	4000tt	6	P06	#33#49#339#368#	#506#511#517#563#	#105#321#389#477#	#42#84#198#200#	#101#123#169#605#	#317#386#600#623#	#
M04	pair33sc	4000tt	7	P06	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P06	#	#	#	#	#	#	#157#409#536#
M04	pair33sc	4000tt	9	P06	#48#	#66#586#	#	#	#	#153#	#
M04	pair33sc	4000tt	10	P06	#588#	#20#	#192#248#271#	#370#	#	#	#
M04	pair33sc	4000tt	11	P06	#	#	#	#	#	#	#9#
M04	pair33sc	4000tt	12	P06	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P07	#135#165#255#322#	#20#56#232#511#	#251#334#376#420#	#118#153#313#380#	#186#566#586#623#	#5#113#124#442#	#
M04	pair33sc	4000tt	2	P07	#181#327#	#3#126#164#333#415#	#68#173#201#499#508#580#	#95#171#184#291#330#	#47#58#87#92#596#616#	#81#588#	#
M04	pair33sc	4000tt	3	P07	#86#122#136#138#212#219#264#587#	#67#100#129#170#225#324#555#607#	#88#154#318#520#529#571#	#140#358#504#	#568#572#	#17#23#97#	#
M04	pair33sc	4000tt	4	P07	#185#191#511#542#593#618#	#53#87#180#187#526#	#135#205#331#506#579#611#	#52#275#551#	#13#42#58#172#	#8#82#607#	#
M04	pair33sc	4000tt	5	P07	#43#90#94#149#164#205#560#614#619#	#44#123#174#231#305#356#409#624#	#41#60#105#238#381#488#	#30#503#609#	#88#603#	#51#112#559#	#
M04	pair33sc	4000tt	6	P07	#36#63#174#528#	#73#229#310#516#	#188#361#471#533#	#54#170#257#485#	#43#131#329#585#	#59#158#219#530#	#
M04	pair33sc	4000tt	7	P07	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P07	#	#	#	#	#	#	#
M04	pair33sc	4000tt	9	P07	#	#36#322#398#426#429#	#	#117#	#	#539#616#	#
M04	pair33sc	4000tt	10	P07	#	#96#504#	#	#290#	#	#437#	#
M04	pair33sc	4000tt	11	P07	#	#	#	#	#	#	#
M04	pair33sc	4000tt	12	P07	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P08	#81#139#141#362#	#275#405#423#476#	#21#218#351#360#	#215#262#319#393#	#12#267#457#599#	#15#474#561#578#	#
M04	pair33sc	4000tt	2	P08	#10#65#86#213#289#294#338#613#619#	#296#455#475#476#525#	#41#70#408#447#561#	#166#242#264#270#392#	#312#	#403#438#456#	#
M04	pair33sc	4000tt	3	P08	#44#113#165#287#298#548#	#360#379#422#455#492#494#624#	#70#244#321#431#508#574#	#90#237#292#314#	#166#511#	#10#135#375#	#414#
M04	pair33sc	4000tt	4	P08	#114#384#474#	#47#229#239#242#317#493#576#	#66#81#165#186#245#259#469#485#	#5#121#123#126#209#	#84#340#	#	#70#
M04	pair33sc	4000tt	5	P08	#57#134#239#306#360#364#501#535#591#	#169#325#492#498#552#593#	#39#58#167#264#439#469#481#590#	#522#544#	#459#	#20#200#246#	#99#
M04	pair33sc	4000tt	6	P08	#6#210#284#411#	#220#357#365#481#	#15#67#392#577#	#25#56#126#597#	#276#288#532#584#	#104#118#138#522#	#
M04	pair33sc	4000tt	7	P08	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P08	#	#	#	#	#	#	#
M04	pair33sc	4000tt	9	P08	#115#168#240#262#280#284#291#294#	#	#82#	#176#582#	#	#	#
M04	pair33sc	4000tt	10	P08	#288#316#347#	#	#	#230#378#	#58#88#	#	#
M04	pair33sc	4000tt	11	P08	#	#	#	#	#	#	#
M04	pair33sc	4000tt	12	P08	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P09	#350#391#411#618#	#54#140#336#369#	#60#223#398#482#	#8#407#449#598#	#230#499#518#616#	#11#110#258#535#	#
M04	pair33sc	4000tt	2	P09	#253#273#394#493#549#574#	#131#133#255#	#40#94#152#158#191#555#	#401#448#529#546#	#20#	#138#431#535#	#558#
M04	pair33sc	4000tt	3	P09	#182#352#392#	#11#282#	#87#609#	#523#	#281#355#415#546#567#	#39#60#186#515#612#	#106#398#
M04	pair33sc	4000tt	4	P09	#323#	#85#89#134#257#539#	#26#37#374#393#558#571#599#	#6#254#291#	#372#424#452#572#	#216#251#338#	#
M04	pair33sc	4000tt	5	P09	#78#476#518#547#	#32#35#77#110#154#177#235#	#3#277#321#415#430#477#622#	#395#473#540#608#	#355#358#421#602#	#106#176#	#295#
M04	pair33sc	4000tt	6	P09	#253#290#369#455#	#5#62#81#204#	#85#470#615#619#	#79#161#467#514#	#28#307#419#428#	#75#165#280#294#	#
M04	pair33sc	4000tt	7	P09	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P09	#	#	#	#	#	#	#
M04	pair33sc	4000tt	9	P09	#	#	#34#65#108#287#	#233#	#518#	#78#	#
M04	pair33sc	4000tt	10	P09	#	#32#62#87#106#190#216#220#280#367#	#	#	#	#613#	#548#
M04	pair33sc	4000tt	11	P09	#	#	#	#	#	#	#
M04	pair33sc	4000tt	12	P09	#	#	#	#	#	#	#
M04	pair33sc	4000tt	1	P10	#105#320#508#572#	#93#268#486#503#	#103#132#233#331#	#197#274#283#387#	#256#263#329#556#	#72#150#271#316#	#
M04	pair33sc	4000tt	2	P10	#77#84#120#215#334#378#604#	#100#190#221#315#464#	#75#124#132#208#228#230#251#261#320#328#	#175#177#180#227#322#	#284#380#	#97#146#168#	#
M04	pair33sc	4000tt	3	P10	#59#151#226#308#351#435#465#	#221#245#374#	#147#246#	#278#315#	#381#456#	#51#142#175#177#249#275#	#288#
M04	pair33sc	4000tt	4	P10	#9#207#373#429#430#	#152#188#206#232#347#394#	#208#211#366#400#	#144#529#556#	#77#255#306#308#	#157#222#295#296#362#	#
M04	pair33sc	4000tt	5	P10	#52#86#119#254#330#407#426#513#554#607#	#28#135#212#230#243#299#312#465#	#175#207#357#362#	#92#606#	#156#599#	#260#292#304#379#416#	#
M04	pair33sc	4000tt	6	P10	#64#400#461#598#	#87#103#536#	#69#76#328#384#	#32#148#183#508#	#130#287#378#463#	#205#336#397#412#	#144#
M04	pair33sc	4000tt	7	P10	#	#	#	#	#	#	#
M04	pair33sc	4000tt	8	P10	#	#	#	#	#	#	#
M04	pair33sc	4000tt	9	P10	#609#	#324#	#128#	#	#573#	#	#
M04	pair33sc	4000tt	10	P10	#531#	#	#172#	#285#	#	#211#	#
M04	pair33sc	4000tt	11	P10	#	#	#	#	#	#	#
M04	pair33sc	4000tt	12	P10	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P01	#131#180#183#427#436#463#	#216#220#363#490#500#574#	#123#341#343#384#446#494#	#	#	#	#73#75#199#237#239#529#
M05	con50sc	4000tt	2	P01	#260#385#	#81#424#550#552#	#245#341#435#438#	#	#601#	#	#3#23#25#28#124#193#216#248#292#
M05	con50sc	4000tt	3	P01	#255#337#358#	#63#99#570#	#295#344#	#	#	#551#	#46#49#125#216#225#237#569#577#601#
M05	con50sc	4000tt	4	P01	#32#211#310#334#456#	#502#550#578#	#155#247#391#580#	#381#	#	#	#
M05	con50sc	4000tt	5	P01	#216#219#386#473#490#	#6#59#481#500#552#	#267#273#452#	#	#	#	#155#284#356#451#459#
M05	con50sc	4000tt	6	P01	#65#192#212#401#434#482#	#132#241#302#447#526#620#	#83#197#250#315#399#415#	#	#	#	#137#234#359#372#437#555#
M05	con50sc	4000tt	7	P01	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P01	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P01	#	#	#	#	#75#98#148#228#	#	#54#480#523#
M05	con50sc	4000tt	10	P01	#	#	#	#	#16#28#44#118#119#568#575#604#	#	#502#
M05	con50sc	4000tt	11	P01	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P01	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P02	#179#189#348#536#	#14#136#176#195#300#541#	#6#114#332#483#	#415#564#	#	#244#	#37#47#187#292#368#480#485#
M05	con50sc	4000tt	2	P02	#158#493#	#12#98#179#192#195#	#36#85#215#	#295#440#	#	#	#16#314#318#381#419#449#485#562#565#567#
M05	con50sc	4000tt	3	P02	#231#	#117#130#	#	#	#	#	#6#12#25#112#218#271#366#499#510#563#
M05	con50sc	4000tt	4	P02	#411#	#121#135#244#	#530#562#573#	#180#	#	#	#206#327#427#447#470#538#563#577#
M05	con50sc	4000tt	5	P02	#12#	#482#	#	#	#	#	#128#201#252#298#351#397#407#424#427#429#460#480#
M05	con50sc	4000tt	6	P02	#12#151#314#398#443#594#	#124#143#194#341#356#512#	#112#327#460#624#	#	#	#504#	#181#275#427#456#473#589#602#
M05	con50sc	4000tt	7	P02	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P02	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P02	#	#	#	#	#	#	#178#181#275#343#
M05	con50sc	4000tt	10	P02	#	#	#	#	#	#	#202#363#378#424#
M05	con50sc	4000tt	11	P02	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P02	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P03	#39#278#298#430#468#609#	#175#356#426#502#523#582#	#227#250#269#366#517#554#	#	#	#	#41#74#159#235#435#514#
M05	con50sc	4000tt	2	P03	#60#82#143#190#257#306#	#135#426#429#560#581#	#137#194#256#263#370#450#542#	#235#	#208#	#	#11#105#
M05	con50sc	4000tt	3	P03	#11#212#282#453#518#	#230#	#205#311#362#364#	#	#	#	#68#158#192#234#260#416#419#539#615#
M05	con50sc	4000tt	4	P03	#114#142#235#240#	#161#246#337#448#	#290#	#	#286#	#	#173#192#205#253#317#356#362#416#463#
M05	con50sc	4000tt	5	P03	#16#183#211#295#412#446#	#54#109#233#265#309#476#612#	#162#269#289#323#362#367#387#	#241#	#365#	#	#133#188#195#
M05	con50sc	4000tt	6	P03	#116#237#374#483#521#564#	#31#331#444#454#603#613#	#95#139#176#223#340#416#	#	#	#	#8#268#286#371#383#422#
M05	con50sc	4000tt	7	P03	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P03	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P03	#	#	#267#287#368#	#166#	#	#	#159#209#315#519#
M05	con50sc	4000tt	10	P03	#	#	#	#	#	#327#418#	#155#389#417#452#520#
M05	con50sc	4000tt	11	P03	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P03	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P04	#95#173#192#327#381#510#	#226#229#272#390#497#553#	#122#129#346#354#403#477#	#	#	#	#13#207#305#318#487#555#
M05	con50sc	4000tt	2	P04	#90#198#428#609#	#101#380#455#557#610#	#172#353#373#410#425#	#	#	#	#30#183#213#285#362#411#511#516#537#
M05	con50sc	4000tt	3	P04	#298#355#486#549#560#	#28#285#306#422#456#	#257#278#299#508#	#	#	#	#61#224#356#360#413#424#427#485#608#
M05	con50sc	4000tt	4	P04	#249#275#487#613#	#128#216#428#460#625#	#57#239#365#421#512#	#295#	#	#	#74#254#323#346#400#498#
M05	con50sc	4000tt	5	P04	#29#148#151#170#221#246#340#	#313#337#442#580#	#95#157#245#382#	#153#	#129#218#222#	#	#63#72#225#319#415#
M05	con50sc	4000tt	6	P04	#179#193#323#345#394#438#	#46#312#334#409#459#487#	#57#293#303#342#491#612#	#	#	#	#14#175#238#247#549#553#
M05	con50sc	4000tt	7	P04	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P04	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P04	#	#	#	#	#	#	#64#292#484#489#561#580#
M05	con50sc	4000tt	10	P04	#	#	#	#	#	#	#144#259#362#507#536#
M05	con50sc	4000tt	11	P04	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P04	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P05	#279#308#389#557#559#	#145#167#225#276#563#	#10#58#134#324#326#593#	#	#573#	#	#49#68#151#196#314#417#551#
M05	con50sc	4000tt	2	P05	#359#	#200#325#	#441#	#608#	#	#	#52#57#75#76#97#123#222#223#267#365#468#500#520#570#605#
M05	con50sc	4000tt	3	P05	#410#415#	#	#	#	#	#	#1#29#32#50#127#143#149#167#201#221#238#270#511#545#623#
M05	con50sc	4000tt	4	P05	#89#120#156#264#304#	#294#522#	#299#343#	#	#	#	#8#24#28#84#106#115#130#146#159#207#210#351#576#579#582#
M05	con50sc	4000tt	5	P05	#182#215#	#	#336#	#	#196#	#	#31#52#74#100#108#132#149#150#167#168#181#184#276#530#556#601#605#
M05	con50sc	4000tt	6	P05	#61#145#221#266#285#332#	#4#133#203#496#567#	#297#301#418#510#	#	#22#	#	#11#55#106#216#232#249#502#574#
M05	con50sc	4000tt	7	P05	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P05	#	#	#	#	#32#	#227#	#24#78#130#579#
M05	con50sc	4000tt	9	P05	#	#	#	#	#	#	#81#104#200#205#610#624#
M05	con50sc	4000tt	10	P05	#	#	#	#	#	#	#27#105#163#230#598#606#607#
M05	con50sc	4000tt	11	P05	#	#	#	#	#	#	#14#560#591#
M05	con50sc	4000tt	12	P05	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P06	#4#78#297#448#462#619#	#117#247#291#339#570#610#	#168#344#525#548#589#617#	#	#	#	#70#166#204#295#410#453#
M05	con50sc	4000tt	2	P06	#14#252#392#551#617#	#149#186#240#297#616#	#541#618#	#	#37#187#	#	#69#219#340#360#375#
M05	con50sc	4000tt	3	P06	#471#	#120#222#321#620#	#43#492#544#	#	#	#	#118#146#162#176#198#259#308#401#474#507#
M05	con50sc	4000tt	4	P06	#30#279#432#	#96#375#405#534#	#112#242#545#	#	#	#141#	#166#181#273#274#390#617#
M05	con50sc	4000tt	5	P06	#5#223#325#421#449#	#244#352#379#487#	#115#583#613#	#	#378#	#25#97#	#41#49#88#143#191#194#200#441#
M05	con50sc	4000tt	6	P06	#348#405#451#523#559#	#246#273#354#453#458#587#	#34#96#99#313#350#537#	#	#	#	#44#153#171#279#291#518#582#
M05	con50sc	4000tt	7	P06	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P06	#	#	#	#	#	#	#120#292#302#349#406#
M05	con50sc	4000tt	9	P06	#600#	#	#	#	#	#	#141#273#425#
M05	con50sc	4000tt	10	P06	#	#	#	#	#	#	#69#104#143#174#182#254#
M05	con50sc	4000tt	11	P06	#	#	#	#	#	#	#197#249#373#425#476#
M05	con50sc	4000tt	12	P06	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P07	#57#61#182#284#349#372#	#162#194#317#395#489#565#	#42#79#202#359#613#621#	#	#	#	#101#221#253#312#450#594#
M05	con50sc	4000tt	2	P07	#80#153#155#182#230#284#400#	#41#92#164#298#396#482#490#	#32#43#71#412#539#569#591#	#	#	#181#251#598#	#233#366#466#578#
M05	con50sc	4000tt	3	P07	#19#129#137#175#228#248#326#	#92#324#346#359#390#412#469#536#589#	#16#60#107#114#542#597#	#195#	#	#	#450#562#594#613#
M05	con50sc	4000tt	4	P07	#81#107#261#357#361#490#	#40#72#189#585#591#619#	#44#140#468#557#	#444#	#590#	#	#39#422#445#449#452#556#566#
M05	con50sc	4000tt	5	P07	#55#107#158#255#	#425#457#483#516#560#	#17#21#517#609#	#494#	#	#	#7#437#440#461#472#507#513#527#546#
M05	con50sc	4000tt	6	P07	#3#97#162#178#231#363#	#39#135#190#299#538#	#88#93#244#493#501#614#	#515#	#	#	#351#353#385#486#576#592#
M05	con50sc	4000tt	7	P07	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P07	#	#	#	#5#560#	#	#	#115#117#563#
M05	con50sc	4000tt	9	P07	#82#282#	#419#533#541#	#70#496#595#	#	#	#	#62#
M05	con50sc	4000tt	10	P07	#75#252#	#415#444#495#590#	#619#	#	#	#	#66#613#
M05	con50sc	4000tt	11	P07	#	#94#	#	#19#210#383#	#	#	#119#
M05	con50sc	4000tt	12	P07	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P08	#119#148#224#309#315#604#	#177#399#434#451#526#611#	#7#519#528#542#590#620#	#	#	#	#9#23#311#347#370#429#
M05	con50sc	4000tt	2	P08	#199#221#278#321#367#619#	#73#356#383#408#421#502#507#522#528#	#401#495#544#590#592#612#621#	#	#	#102#104#374#	#27#434#
M05	con50sc	4000tt	3	P08	#200#340#357#528#	#251#352#373#375#582#585#	#62#500#565#	#329#	#	#	#2#77#133#154#302#433#442#506#600#
M05	con50sc	4000tt	4	P08	#10#14#87#	#177#305#350#506#529#532#603#	#46#430#521#	#	#283#	#	#64#93#110#138#170#607#610#
M05	con50sc	4000tt	5	P08	#326#374#	#152#227#608#	#14#599#	#	#	#	#3#9#39#164#169#186#240#355#555#575#
M05	con50sc	4000tt	6	P08	#7#189#222#410#426#586#	#9#37#78#277#380#507#	#70#120#160#173#403#468#	#	#	#	#142#187#209#349#581#617#
M05	con50sc	4000tt	7	P08	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P08	#	#	#	#	#	#	#161#216#494#
M05	con50sc	4000tt	9	P08	#	#	#	#	#	#	#34#90#135#284#
M05	con50sc	4000tt	10	P08	#	#	#	#	#	#	#92#137#180#560#
M05	con50sc	4000tt	11	P08	#	#	#	#	#	#	#18#62#136#
M05	con50sc	4000tt	12	P08	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P09	#62#91#265#392#471#493#	#106#144#345#481#608#622#	#51#155#249#374#386#422#	#	#	#	#40#125#178#286#353#532#
M05	con50sc	4000tt	2	P09	#64#232#279#415#	#31#456#	#249#287#348#	#	#122#	#302#	#79#100#127#226#229#231#253#512#
M05	con50sc	4000tt	3	P09	#368#388#464#	#70#104#583#	#128#151#223#253#323#	#	#	#	#81#86#126#147#206#351#
M05	con50sc	4000tt	4	P09	#197#268#296#511#	#382#418#559#	#20#151#402#543#596#599#	#	#	#493#	#100#288#366#440#474#475#539#544#
M05	con50sc	4000tt	5	P09	#27#293#342#416#	#58#206#384#488#618#	#178#418#571#	#	#	#	#19#47#381#388#423#465#525#542#
M05	con50sc	4000tt	6	P09	#155#344#367#439#575#	#16#283#305#445#535#552#	#208#251#396#499#542#546#	#402#	#	#	#23#263#417#450#462#625#
M05	con50sc	4000tt	7	P09	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P09	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P09	#367#543#	#	#	#	#	#	#405#
M05	con50sc	4000tt	10	P09	#	#	#	#	#	#	#347#503#
M05	con50sc	4000tt	11	P09	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P09	#	#	#	#	#	#	#
M05	con50sc	4000tt	1	P10	#109#190#293#552#569#597#	#46#154#287#441#515#524#	#27#90#201#243#469#520#	#	#	#	#76#193#236#277#408#505#
M05	con50sc	4000tt	2	P10	#70#258#546#568#	#294#357#369#416#	#26#142#242#317#	#	#	#	#7#99#191#259#335#336#406#
M05	con50sc	4000tt	3	P10	#94#163#465#598#	#199#240#367#408#484#	#76#165#245#265#523#543#	#	#	#	#8#80#281#382#454#502#505#525#
M05	con50sc	4000tt	4	P10	#336#	#229#328#	#291#345#435#492#	#	#394#	#455#	#123#190#198#220#224#243#306#315#321#420#496#553#
M05	con50sc	4000tt	5	P10	#48#104#198#614#	#237#275#419#454#	#345#364#401#447#537#	#	#247#304#	#	#239#338#348#354#375#572#
M05	con50sc	4000tt	6	P10	#72#163#207#373#596#	#129#236#255#474#480#561#	#21#60#245#325#465#531#	#	#	#	#94#147#258#335#366#377#495#
M05	con50sc	4000tt	7	P10	#	#	#	#	#	#	#
M05	con50sc	4000tt	8	P10	#	#	#	#	#	#	#
M05	con50sc	4000tt	9	P10	#	#	#	#	#	#	#510#599#
M05	con50sc	4000tt	10	P10	#624#	#	#	#	#	#	#74#453#
M05	con50sc	4000tt	11	P10	#	#	#	#	#	#	#
M05	con50sc	4000tt	12	P10	#	#	#	#	#	#	#
M05	pair33sc	4000tt	1	P01	#1#28#396#603#	#152#184#358#588#	#261#402#539#567#	#17#86#388#470#	#22#104#409#607#	#45#211#259#576#	#
M05	pair33sc	4000tt	2	P01	#48#121#395#522#620#	#25#107#112#115#189#246#260#381#	#14#19#285#310#332#482#492#534#592#	#42#64#515#569#	#122#128#	#	#
M05	pair33sc	4000tt	3	P01	#20#47#52#337#475#545#	#209#283#356#600#	#14#134#208#384#406#482#602#	#363#	#434#506#601#606#	#110#206#361#597#	#
M05	pair33sc	4000tt	4	P01	#261#265#344#417#	#179#252#281#414#458#477#523#552#	#272#342#368#416#468#520#524#591#594#	#361#495#545#	#489#	#428#	#
M05	pair33sc	4000tt	5	P01	#163#	#185#252#269#351#447#	#266#293#350#419#427#471#617#	#82#215#284#287#361#366#384#	#468#493#515#	#37#413#500#	#
M05	pair33sc	4000tt	6	P01	#239#337#424#433#	#298#358#476#578#	#346#466#520#547#	#261#309#393#395#	#201#295#390#616#	#30#134#318#430#	#
M05	pair33sc	4000tt	7	P01	#	#	#	#	#	#	#
M05	pair33sc	4000tt	8	P01	#	#	#	#	#	#	#
M05	pair33sc	4000tt	9	P01	#154#259#480#579#	#	#	#226#256#355#507#	#491#	#	#
M05	pair33sc	4000tt	10	P01	#500#	#	#	#	#7#21#128#385#576#	#	#337#549#
M05	pair33sc	4000tt	11	P01	#	#	#	#	#	#	#
M05	pair33sc	4000tt	12	P01	#	#	#	#	#	#	#
M05	pair33sc	4000tt	1	P02	#102#143#285#475#	#116#209#231#338#	#325#357#496#580#	#156#163#335#454#	#107#112#378#433#	#238#371#488#549#	#
M05	pair33sc	4000tt	2	P02	#63#98#187#283#303#432#600#	#80#155#254#300#316#329#358#360#363#420#	#29#281#373#382#405#473#583#	#211#259#554#	#500#	#470#474#567#	#
M05	pair33sc	4000tt	3	P02	#1#102#123#181#193#575#	#15#72#207#268#306#329#436#	#163#183#305#457#578#	#109#259#311#603#	#309#402#403#	#371#	#185#247#
M05	pair33sc	4000tt	4	P02	#17#99#210#498#574#603#	#127#146#218#284#	#31#247#277#282#329#348#	#104#269#	#73#132#224#	#27#101#250#	#
M05	pair33sc	4000tt	5	P02	#124#453#499#578#604#621#	#159#181#191#289#445#	#8#81#150#158#201#227#257#279#	#64#120#121#172#	#84#	#128#155#202#247#	#234#
