Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M01	con50	label	2000tt	1	1	P09	#471#91#62#493#392#265	#106#622#144#481#345#608	#374#155#51#249#422#386	#	#	#	#353#532#178#125#40#286	#	#
M01	con50	label	2000tt	2	1	P09	#471#91#62#493#392#265	#106#622#144#481#345#608	#374#155#51#249#422#386	#	#	#	#353#532#178#125#40#286	#	#
M01	con50	label	2000tt	3	1	P09	#471#91#493	#144#608	#386#51	#	#	#	#	#	#
M01	con50	label	2000tt	4	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	5	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	6	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	7	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	8	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	9	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	10	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	11	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	1	P09	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	1	P09	#	#	#	#	#	#	#	#	#
