Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M06	con50	label	2000tt	1	1	P08	#119#309#148#604#224#315	#434#177#526#451#399	#590#519#542	#	#	#7#620	#347#370#311#23#429#611#9#528	#	#
M06	con50	label	2000tt	2	1	P08	#119#309#148#604#224#315	#434#177#526#451#399	#590#519#542	#	#	#7#620	#347#370#311#23#429#611#9#528	#	#
M06	con50	label	2000tt	3	1	P08	#119#148#604#224#315	#526	#519	#	#	#620	#9#23#528	#	#
M06	con50	label	2000tt	4	1	P08	#119#148#315	#	#	#	#	#620	#611#528	#	#
M06	con50	label	2000tt	5	1	P08	#119#604	#	#	#	#	#	#611#528	#	#
M06	con50	label	2000tt	6	1	P08	#	#	#	#	#	#620	#611#528	#	#
M06	con50	label	2000tt	7	1	P08	#	#526	#	#	#	#620	#611	#	#
M06	con50	label	2000tt	8	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	9	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	10	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	11	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	12	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	13	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	14	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	15	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	16	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	17	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	18	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	19	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	20	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	21	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	22	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	23	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	24	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	25	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	26	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	27	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	28	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	29	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	30	1	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	1	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	2	2	P08	#321#367#199	#383#73#434#571	#544	#619	#	#	#374#107#401#27#421#502#102#592#39#621	#	#278#573#612#522#507#407#408#203#402
M06	con50	label	2000tt	3	2	P08	#367#199#321	#434#383#73#571	#544	#619	#	#	#374#107#401#27#421#502#102#592#39#621	#	#535#603#402#495
M06	con50	label	2000tt	4	2	P08	#199	#571	#544	#	#	#	#39#107#27#592	#	#
M06	con50	label	2000tt	5	2	P08	#	#	#544	#	#	#	#39#27#592	#	#603
M06	con50	label	2000tt	6	2	P08	#	#	#	#	#	#	#39#592	#	#603
M06	con50	label	2000tt	7	2	P08	#	#	#544	#	#	#	#592	#	#603
M06	con50	label	2000tt	8	2	P08	#	#	#	#	#	#	#592	#	#
M06	con50	label	2000tt	9	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	10	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	11	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	12	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	13	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	14	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	15	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	16	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	17	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	18	2	P08	#	#	#	#	#	#	#	#	#
M06	con50	label	2000tt	19	2	P08	#	#	#	#	#	#	#	#	#
