	Model	Type	TrainingTrials	Row	Area	AreaAbs	Pattern	CA
12604	M01	pair33sc	4000tt	1	5	5	P06	#4#9#34#49#65#75#97#122#131#144#145#148#223#245#490#594#
12605	M01	pair33sc	4000tt	1	6	6	P06	#84#198#
12606	M01	pair33sc	4000tt	2	1	7	P06	#
12607	M01	pair33sc	4000tt	2	2	8	P06	#428#
12608	M01	pair33sc	4000tt	2	3	9	P06	#48#
12609	M01	pair33sc	4000tt	2	4	10	P06	#370#
12610	M01	pair33sc	4000tt	2	5	11	P06	#310#
12611	M01	pair33sc	4000tt	2	6	12	P06	#
12960	M01	pair33sc	4000tt	1	1	1	P07	#153#165#255#
12961	M01	pair33sc	4000tt	1	2	2	P07	#181#327#
12962	M01	pair33sc	4000tt	1	3	3	P07	#61#122#138#140#212#219#264#358#388#568#572#587#
12963	M01	pair33sc	4000tt	1	4	4	P07	#13#42#52#172#185#191#511#542#551#593#618#
12964	M01	pair33sc	4000tt	1	5	5	P07	#43#
12965	M01	pair33sc	4000tt	1	6	6	P07	#36#174#
12966	M01	pair33sc	4000tt	2	1	7	P07	#
12967	M01	pair33sc	4000tt	2	2	8	P07	#
12968	M01	pair33sc	4000tt	2	3	9	P07	#114#121#226#318#398#539#616#
12969	M01	pair33sc	4000tt	2	4	10	P07	#290#
12970	M01	pair33sc	4000tt	2	5	11	P07	#
12971	M01	pair33sc	4000tt	2	6	12	P07	#
13320	M01	pair33sc	4000tt	1	1	1	P08	#141#362#
13321	M01	pair33sc	4000tt	1	2	2	P08	#213#
13322	M01	pair33sc	4000tt	1	3	3	P08	#287#
13323	M01	pair33sc	4000tt	1	4	4	P08	#5#70#84#114#121#126#209#340#351#384#404#474#
13324	M01	pair33sc	4000tt	1	5	5	P08	#79#83#96#99#134#239#306#336#360#364#501#522#535#591#
13325	M01	pair33sc	4000tt	1	6	6	P08	#276#597#
13326	M01	pair33sc	4000tt	2	1	7	P08	#
13327	M01	pair33sc	4000tt	2	2	8	P08	#
13328	M01	pair33sc	4000tt	2	3	9	P08	#179#
13329	M01	pair33sc	4000tt	2	4	10	P08	#546#
13330	M01	pair33sc	4000tt	2	5	11	P08	#
13331	M01	pair33sc	4000tt	2	6	12	P08	#
13680	M01	pair33sc	4000tt	1	1	1	P09	#350#411#
13681	M01	pair33sc	4000tt	1	2	2	P09	#394#
13682	M01	pair33sc	4000tt	1	3	3	P09	#398#
13683	M01	pair33sc	4000tt	1	4	4	P09	#424#
13684	M01	pair33sc	4000tt	1	5	5	P09	#295#421#
13685	M01	pair33sc	4000tt	1	6	6	P09	#253#369#
13686	M01	pair33sc	4000tt	2	1	7	P09	#
13687	M01	pair33sc	4000tt	2	2	8	P09	#
13688	M01	pair33sc	4000tt	2	3	9	P09	#392#
13689	M01	pair33sc	4000tt	2	4	10	P09	#470#548#
13690	M01	pair33sc	4000tt	2	5	11	P09	#
13691	M01	pair33sc	4000tt	2	6	12	P09	#
14040	M01	pair33sc	4000tt	1	1	1	P10	#329#387#
14041	M01	pair33sc	4000tt	1	2	2	P10	#77#120#175#177#180#208#215#224#261#268#284#332#334#364#378#
14042	M01	pair33sc	4000tt	1	3	3	P10	#48#59#151#158#226#278#288#308#315#381#435#465#94#
14043	M01	pair33sc	4000tt	1	4	4	P10	#188#211#
14044	M01	pair33sc	4000tt	1	5	5	P10	#554#
14045	M01	pair33sc	4000tt	1	6	6	P10	#64#183#
14046	M01	pair33sc	4000tt	2	1	7	P10	#
14047	M01	pair33sc	4000tt	2	2	8	P10	#
14048	M01	pair33sc	4000tt	2	3	9	P10	#128#152#195#240#254#274#305#479#382#
14049	M01	pair33sc	4000tt	2	4	10	P10	#81#199#230#285#
14050	M01	pair33sc	4000tt	2	5	11	P10	#
14051	M01	pair33sc	4000tt	2	6	12	P10	#
14400	M01	pair33sc	4000tt	1	1	1	P11	#86#152#211#358#
14401	M01	pair33sc	4000tt	1	2	2	P11	#112#189#238#260#381#
14402	M01	pair33sc	4000tt	1	3	3	P11	#206#
14403	M01	pair33sc	4000tt	1	4	4	P11	#428#
14404	M01	pair33sc	4000tt	1	5	5	P11	#185#351#
14405	M01	pair33sc	4000tt	1	6	6	P11	#578#
14406	M01	pair33sc	4000tt	2	1	7	P11	#
14407	M01	pair33sc	4000tt	2	2	8	P11	#
14408	M01	pair33sc	4000tt	2	3	9	P11	#434#
14409	M01	pair33sc	4000tt	2	4	10	P11	#549#
14410	M01	pair33sc	4000tt	2	5	11	P11	#
14411	M01	pair33sc	4000tt	2	6	12	P11	#
14760	M01	pair33sc	4000tt	1	1	1	P12	#209#231#
14761	M01	pair33sc	4000tt	1	2	2	P12	#358#363#
14762	M01	pair33sc	4000tt	1	3	3	P12	#207#259#311#
14763	M01	pair33sc	4000tt	1	4	4	P12	#284#
14764	M01	pair33sc	4000tt	1	5	5	P12	#234#
14765	M01	pair33sc	4000tt	1	6	6	P12	#225#248#
14766	M01	pair33sc	4000tt	2	1	7	P12	#
14767	M01	pair33sc	4000tt	2	2	8	P12	#241#336#502#
14768	M01	pair33sc	4000tt	2	3	9	P12	#130#
14769	M01	pair33sc	4000tt	2	4	10	P12	#240#
14770	M01	pair33sc	4000tt	2	5	11	P12	#294#
14771	M01	pair33sc	4000tt	2	6	12	P12	#
15120	M01	pair33sc	4000tt	1	1	1	P13	#406#
15121	M01	pair33sc	4000tt	1	2	2	P13	#462#
15122	M01	pair33sc	4000tt	1	3	3	P13	#383#485#487#
15123	M01	pair33sc	4000tt	1	4	4	P13	#363#415#442#471#566#570#
15124	M01	pair33sc	4000tt	1	5	5	P13	#438#
15125	M01	pair33sc	4000tt	1	6	6	P13	#364#442#
15126	M01	pair33sc	4000tt	2	1	7	P13	#
15127	M01	pair33sc	4000tt	2	2	8	P13	#540#584#392#
15128	M01	pair33sc	4000tt	2	3	9	P13	#437#489#
15129	M01	pair33sc	4000tt	2	4	10	P13	#286#
15130	M01	pair33sc	4000tt	2	5	11	P13	#435#560#
15131	M01	pair33sc	4000tt	2	6	12	P13	#
15480	M01	pair33sc	4000tt	1	1	1	P14	#625#
15481	M01	pair33sc	4000tt	1	2	2	P14	#32#36#134#163#226#256#304#339#383#449#458#474#615#618#
15482	M01	pair33sc	4000tt	1	3	3	P14	#196#
15483	M01	pair33sc	4000tt	1	4	4	P14	#93#195#222#274#324#328#386#479#563#
15484	M01	pair33sc	4000tt	1	5	5	P14	#70#225#244#267#271#347#372#417#520#528#530#538#
15485	M01	pair33sc	4000tt	1	6	6	P14	#50#429#
15486	M01	pair33sc	4000tt	2	1	7	P14	#
15487	M01	pair33sc	4000tt	2	2	8	P14	#
15488	M01	pair33sc	4000tt	2	3	9	P14	#147#505#
15489	M01	pair33sc	4000tt	2	4	10	P14	#166#
15490	M01	pair33sc	4000tt	2	5	11	P14	#
15491	M01	pair33sc	4000tt	2	6	12	P14	#
15840	M01	pair33sc	4000tt	1	1	1	P15	#191#413#
15841	M01	pair33sc	4000tt	1	2	2	P15	#362#
15842	M01	pair33sc	4000tt	1	3	3	P15	#285#
15843	M01	pair33sc	4000tt	1	4	4	P15	#407#562#
15844	M01	pair33sc	4000tt	1	5	5	P15	#7#288#
15845	M01	pair33sc	4000tt	1	6	6	P15	#159#304#489#590#611#
15846	M01	pair33sc	4000tt	2	1	7	P15	#
15847	M01	pair33sc	4000tt	2	2	8	P15	#554#187#279#404#441#
15848	M01	pair33sc	4000tt	2	3	9	P15	#261#
15849	M01	pair33sc	4000tt	2	4	10	P15	#386#
15850	M01	pair33sc	4000tt	2	5	11	P15	#370#412#365#
15851	M01	pair33sc	4000tt	2	6	12	P15	#
16200	M01	pair33sc	4000tt	1	1	1	P16	#540#
16201	M01	pair33sc	4000tt	1	2	2	P16	#16#552#
16202	M01	pair33sc	4000tt	1	3	3	P16	#73#517#595#
16203	M01	pair33sc	4000tt	1	4	4	P16	#15#530#
16204	M01	pair33sc	4000tt	1	5	5	P16	#562#
16205	M01	pair33sc	4000tt	1	6	6	P16	#563#
16206	M01	pair33sc	4000tt	2	1	7	P16	#
16207	M01	pair33sc	4000tt	2	2	8	P16	#428#
16208	M01	pair33sc	4000tt	2	3	9	P16	#429#602#
16209	M01	pair33sc	4000tt	2	4	10	P16	#600#
16210	M01	pair33sc	4000tt	2	5	11	P16	#310#455#
16211	M01	pair33sc	4000tt	2	6	12	P16	#
16560	M01	pair33sc	4000tt	1	1	1	P17	#5#153#232#
16561	M01	pair33sc	4000tt	1	2	2	P17	#126#
16562	M01	pair33sc	4000tt	1	3	3	P17	#129#
16563	M01	pair33sc	4000tt	1	4	4	P17	#39#
16564	M01	pair33sc	4000tt	1	5	5	P17	#409#
16565	M01	pair33sc	4000tt	1	6	6	P17	#54#59#73#158#170#219#229#257#310#485#516#530#
16566	M01	pair33sc	4000tt	2	1	7	P17	#
16567	M01	pair33sc	4000tt	2	2	8	P17	#
16568	M01	pair33sc	4000tt	2	3	9	P17	#121#226#
16569	M01	pair33sc	4000tt	2	4	10	P17	#200#
16570	M01	pair33sc	4000tt	2	5	11	P17	#
16571	M01	pair33sc	4000tt	2	6	12	P17	#
16920	M01	pair33sc	4000tt	1	1	1	P18	#476#
16921	M01	pair33sc	4000tt	1	2	2	P18	#392#438#
16922	M01	pair33sc	4000tt	1	3	3	P18	#422#494#
16923	M01	pair33sc	4000tt	1	4	4	P18	#5#47#70#121#126#209#229#239#242#317#576#
16924	M01	pair33sc	4000tt	1	5	5	P18	#20#58#79#96#169#193#200#246#325#492#498#522#531#552#590#
16925	M01	pair33sc	4000tt	1	6	6	P18	#597#365#
16926	M01	pair33sc	4000tt	2	1	7	P18	#
16927	M01	pair33sc	4000tt	2	2	8	P18	#
16928	M01	pair33sc	4000tt	2	3	9	P18	#176#
16929	M01	pair33sc	4000tt	2	4	10	P18	#546#
16930	M01	pair33sc	4000tt	2	5	11	P18	#
16931	M01	pair33sc	4000tt	2	6	12	P18	#
17280	M01	pair33sc	4000tt	1	1	1	P19	#11#54#140#535#
17281	M01	pair33sc	4000tt	1	2	2	P19	#131#133#
17282	M01	pair33sc	4000tt	1	3	3	P19	#11#106#
17283	M01	pair33sc	4000tt	1	4	4	P19	#85#134#539#585#
17284	M01	pair33sc	4000tt	1	5	5	P19	#32#110#
17285	M01	pair33sc	4000tt	1	6	6	P19	#62#
17286	M01	pair33sc	4000tt	2	1	7	P19	#
17287	M01	pair33sc	4000tt	2	2	8	P19	#
17288	M01	pair33sc	4000tt	2	3	9	P19	#78#
17289	M01	pair33sc	4000tt	2	4	10	P19	#208#
17290	M01	pair33sc	4000tt	2	5	11	P19	#
17291	M01	pair33sc	4000tt	2	6	12	P19	#
17640	M01	pair33sc	4000tt	1	1	1	P20	#93#268#271#387#
17641	M01	pair33sc	4000tt	1	2	2	P20	#97#
17642	M01	pair33sc	4000tt	1	3	3	P20	#94#
17643	M01	pair33sc	4000tt	1	4	4	P20	#110#
17644	M01	pair33sc	4000tt	1	5	5	P20	#28#230#
17645	M01	pair33sc	4000tt	1	6	6	P20	#103#144#183#205#
17646	M01	pair33sc	4000tt	2	1	7	P20	#
17647	M01	pair33sc	4000tt	2	2	8	P20	#
17648	M01	pair33sc	4000tt	2	3	9	P20	#128#152#195#240#254#274#305#382#479#
17649	M01	pair33sc	4000tt	2	4	10	P20	#285#230#
17650	M01	pair33sc	4000tt	2	5	11	P20	#
17651	M01	pair33sc	4000tt	2	6	12	P20	#
18000	M01	pair33sc	4000tt	1	1	1	P21	#211#402#
18001	M01	pair33sc	4000tt	1	2	2	P21	#492#623#
18002	M01	pair33sc	4000tt	1	3	3	P21	#14#110#134#206#384#387#406#434#482#524#597#602#606#356#506#601#
18003	M01	pair33sc	4000tt	1	4	4	P21	#489#
18004	M01	pair33sc	4000tt	1	5	5	P21	#37#266#293#391#413#419#427#471#493#500#515#617#
18005	M01	pair33sc	4000tt	1	6	6	P21	#30#
18006	M01	pair33sc	4000tt	2	1	7	P21	#
18007	M01	pair33sc	4000tt	2	2	8	P21	#
18008	M01	pair33sc	4000tt	2	3	9	P21	#350#
18009	M01	pair33sc	4000tt	2	4	10	P21	#549#
18010	M01	pair33sc	4000tt	2	5	11	P21	#
18011	M01	pair33sc	4000tt	2	6	12	P21	#
18360	M01	pair33sc	4000tt	1	1	1	P22	#325#378#496#580#
18361	M01	pair33sc	4000tt	1	2	2	P22	#369#
18362	M01	pair33sc	4000tt	1	3	3	P22	#247#578#
18363	M01	pair33sc	4000tt	1	4	4	P22	#247#
18364	M01	pair33sc	4000tt	1	5	5	P22	#81#279#572#
18365	M01	pair33sc	4000tt	1	6	6	P22	#177#
18366	M01	pair33sc	4000tt	2	1	7	P22	#
18367	M01	pair33sc	4000tt	2	2	8	P22	#241#336#502#
18368	M01	pair33sc	4000tt	2	3	9	P22	#270#
18369	M01	pair33sc	4000tt	2	4	10	P22	#146#
18370	M01	pair33sc	4000tt	2	5	11	P22	#137#274#294#379#
18371	M01	pair33sc	4000tt	2	6	12	P22	#
18720	M01	pair33sc	4000tt	1	1	1	P23	#30#63#121#128#164#185#375#383#414#459#591#605#
18721	M01	pair33sc	4000tt	1	2	2	P23	#21#55#145#236#262#367#377#419#503#565#601#605#
18722	M01	pair33sc	4000tt	1	3	3	P23	#4#7#79#111#133#178#239#286#303#357#577#585#588#590#485#487#
18723	M01	pair33sc	4000tt	1	4	4	P23	#199#300#302#327#333#387#396#398#406#450#460#482#356#
18724	M01	pair33sc	4000tt	1	5	5	P23	#315#
18725	M01	pair33sc	4000tt	1	6	6	P23	#217#324#513#
18726	M01	pair33sc	4000tt	2	1	7	P23	#
18727	M01	pair33sc	4000tt	2	2	8	P23	#392#540#584#
18728	M01	pair33sc	4000tt	2	3	9	P23	#387#489#
18729	M01	pair33sc	4000tt	2	4	10	P23	#404#
18730	M01	pair33sc	4000tt	2	5	11	P23	#435#560#
18731	M01	pair33sc	4000tt	2	6	12	P23	#
19080	M01	pair33sc	4000tt	1	1	1	P24	#507#
19081	M01	pair33sc	4000tt	1	2	2	P24	#32#36#66#67#144#154#174#212#226#231#256#304#352#383#519#
19082	M01	pair33sc	4000tt	1	3	3	P24	#507#
19083	M01	pair33sc	4000tt	1	4	4	P24	#600#
19084	M01	pair33sc	4000tt	1	5	5	P24	#104#225#267#271#307#318#322#353#394#398#417#423#442#483#
19085	M01	pair33sc	4000tt	1	6	6	P24	#281#475#599#
19086	M01	pair33sc	4000tt	2	1	7	P24	#
19087	M01	pair33sc	4000tt	2	2	8	P24	#
19088	M01	pair33sc	4000tt	2	3	9	P24	#215#266#505#
19089	M01	pair33sc	4000tt	2	4	10	P24	#161#266#348#460#258#
19090	M01	pair33sc	4000tt	2	5	11	P24	#
19091	M01	pair33sc	4000tt	2	6	12	P24	#
19440	M01	pair33sc	4000tt	1	1	1	P25	#126#413#
19441	M01	pair33sc	4000tt	1	2	2	P25	#362#384#
19442	M01	pair33sc	4000tt	1	3	3	P25	#156#285#
19443	M01	pair33sc	4000tt	1	4	4	P25	#407#590#
19444	M01	pair33sc	4000tt	1	5	5	P25	#87#288#
19445	M01	pair33sc	4000tt	1	6	6	P25	#242#
19446	M01	pair33sc	4000tt	2	1	7	P25	#
19447	M01	pair33sc	4000tt	2	2	8	P25	#279#441#187#404#554#
19448	M01	pair33sc	4000tt	2	3	9	P25	#261#
19449	M01	pair33sc	4000tt	2	4	10	P25	#386#
19450	M01	pair33sc	4000tt	2	5	11	P25	#370#365#412#513#
19451	M01	pair33sc	4000tt	2	6	12	P25	#
19800	M01	pair33sc	4000tt	1	1	1	P26	#198#219#264#296#
19801	M01	pair33sc	4000tt	1	2	2	P26	#267#346#
19802	M01	pair33sc	4000tt	1	3	3	P26	#295#
19803	M01	pair33sc	4000tt	1	4	4	P26	#22#69#97#128#177#217#243#270#316#456#490#580#620#
19804	M01	pair33sc	4000tt	1	5	5	P26	#1#4#21#46#49#53#75#95#122#131#145#148#248#272#440#457#467#435#
19805	M01	pair33sc	4000tt	1	6	6	P26	#389#
19806	M01	pair33sc	4000tt	2	1	7	P26	#
19807	M01	pair33sc	4000tt	2	2	8	P26	#428#
19808	M01	pair33sc	4000tt	2	3	9	P26	#153#429#
19809	M01	pair33sc	4000tt	2	4	10	P26	#248#
19810	M01	pair33sc	4000tt	2	5	11	P26	#310#455#
19811	M01	pair33sc	4000tt	2	6	12	P26	#
20160	M01	pair33sc	4000tt	1	1	1	P27	#5#420#
20161	M01	pair33sc	4000tt	1	2	2	P27	#58#68#81#87#92#126#173#201#223#391#468#499#508#580#588#596#616#
20162	M01	pair33sc	4000tt	1	3	3	P27	#30#88#97#154#160#318#520#529#568#572#618#
20163	M01	pair33sc	4000tt	1	4	4	P27	#8#13#42#82#135#172#205#235#331#432#611#
20164	M01	pair33sc	4000tt	1	5	5	P27	#88#
20165	M01	pair33sc	4000tt	1	6	6	P27	#188#
20166	M01	pair33sc	4000tt	2	1	7	P27	#
20167	M01	pair33sc	4000tt	2	2	8	P27	#
20168	M01	pair33sc	4000tt	2	3	9	P27	#539#616#
20169	M01	pair33sc	4000tt	2	4	10	P27	#349#437#
20170	M01	pair33sc	4000tt	2	5	11	P27	#
20171	M01	pair33sc	4000tt	2	6	12	P27	#
20520	M01	pair33sc	4000tt	1	1	1	P28	#12#15#21#218#267#351#360#457#474#561#578#599#141#476#
20521	M01	pair33sc	4000tt	1	2	2	P28	#31#41#70#101#294#312#379#408#422#438#455#456#475#561#
20522	M01	pair33sc	4000tt	1	3	3	P28	#375#
20523	M01	pair33sc	4000tt	1	4	4	P28	#5#66#70#84#165#186#245#259#340#404#
20524	M01	pair33sc	4000tt	1	5	5	P28	#19#20#39#58#99#167#200#246#469#481#590#
20525	M01	pair33sc	4000tt	1	6	6	P28	#276#577#
20526	M01	pair33sc	4000tt	2	1	7	P28	#
20527	M01	pair33sc	4000tt	2	2	8	P28	#
20528	M01	pair33sc	4000tt	2	3	9	P28	#82#214#
20529	M01	pair33sc	4000tt	2	4	10	P28	#58#
20530	M01	pair33sc	4000tt	2	5	11	P28	#
20531	M01	pair33sc	4000tt	2	6	12	P28	#
20880	M01	pair33sc	4000tt	1	1	1	P29	#11#
20881	M01	pair33sc	4000tt	1	2	2	P29	#548#555#
20882	M01	pair33sc	4000tt	1	3	3	P29	#87#398#
20883	M01	pair33sc	4000tt	1	4	4	P29	#37#393#
20884	M01	pair33sc	4000tt	1	5	5	P29	#321#
20885	M01	pair33sc	4000tt	1	6	6	P29	#28#75#85#165#280#294#307#419#428#470#615#619#
20886	M01	pair33sc	4000tt	2	1	7	P29	#
20887	M01	pair33sc	4000tt	2	2	8	P29	#
20888	M01	pair33sc	4000tt	2	3	9	P29	#34#40#65#78#85#208#287#392#518#
20889	M01	pair33sc	4000tt	2	4	10	P29	#470#548#
20890	M01	pair33sc	4000tt	2	5	11	P29	#
20891	M01	pair33sc	4000tt	2	6	12	P29	#
21240	M01	pair33sc	4000tt	1	1	1	P30	#233#256#329#331#
21241	M01	pair33sc	4000tt	1	2	2	P30	#208#
21242	M01	pair33sc	4000tt	1	3	3	P30	#50#147#214#
21243	M01	pair33sc	4000tt	1	4	4	P30	#77#211#
21244	M01	pair33sc	4000tt	1	5	5	P30	#207#
21245	M01	pair33sc	4000tt	1	6	6	P30	#69#76#205#384#
21246	M01	pair33sc	4000tt	2	1	7	P30	#
21247	M01	pair33sc	4000tt	2	2	8	P30	#
21248	M01	pair33sc	4000tt	2	3	9	P30	#128#305#
21249	M01	pair33sc	4000tt	2	4	10	P30	#230#
21250	M01	pair33sc	4000tt	2	5	11	P30	#
21251	M01	pair33sc	4000tt	2	6	12	P30	#
