Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M03	con50	label	2000tt	1	1	P01	#183#180#131#427#463	#216#500#363#220#574	#446#494#384#343#341	#	#	#	#75#73#199#239#529#237#490#436#123	#	#
M03	con50	label	2000tt	2	1	P01	#183#180#131#427#463	#216#500#363#220#574	#446#494#384#343#341	#	#	#	#75#73#199#239#529#237#490#436#123	#	#
M03	con50	label	2000tt	3	1	P01	#	#216#500#363#574	#446#343#341	#	#	#	#73#529#490#436#123	#	#
M03	con50	label	2000tt	4	1	P01	#	#363	#	#	#	#	#73#490#436#123	#	#
M03	con50	label	2000tt	5	1	P01	#	#	#	#	#	#	#490#436#123	#	#
M03	con50	label	2000tt	6	1	P01	#	#	#	#	#	#	#490#436	#	#
M03	con50	label	2000tt	7	1	P01	#	#	#	#	#	#	#490	#	#
M03	con50	label	2000tt	8	1	P01	#	#	#	#	#	#	#436	#	#
M03	con50	label	2000tt	9	1	P01	#	#	#	#	#	#	#436	#	#
M03	con50	label	2000tt	10	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	11	1	P01	#	#	#	#	#	#	#490	#	#
M03	con50	label	2000tt	12	1	P01	#	#	#384	#	#	#	#	#	#
M03	con50	label	2000tt	13	1	P01	#	#	#384#341	#	#	#	#436	#	#
M03	con50	label	2000tt	14	1	P01	#	#	#341	#	#	#	#	#	#
M03	con50	label	2000tt	15	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	1	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	2	P01	#501#385#601	#424	#514#42#341	#	#	#	#124#28#550#292#260#552#3#185#25#23#435	#	#81#245#577#304
M03	con50	label	2000tt	3	2	P01	#501#385#601	#424	#514#42#341	#	#	#	#124#28#550#292#260#552#3#185#25#23#438#435	#	#125#437#304#224#157
M03	con50	label	2000tt	4	2	P01	#385	#424	#341	#	#	#	#3#28#185#25#438#552#435	#	#
M03	con50	label	2000tt	5	2	P01	#385	#	#	#	#	#	#28#185#438#552#435	#	#
M03	con50	label	2000tt	6	2	P01	#	#	#	#	#	#	#28#438#552#435	#	#224
M03	con50	label	2000tt	7	2	P01	#	#	#	#	#	#	#438#552#435	#	#224
M03	con50	label	2000tt	8	2	P01	#	#	#	#	#	#	#438#552	#	#
M03	con50	label	2000tt	9	2	P01	#	#	#	#	#	#	#438#185	#	#
M03	con50	label	2000tt	10	2	P01	#	#	#	#	#	#	#438#435	#	#
M03	con50	label	2000tt	11	2	P01	#	#	#	#	#	#	#438	#	#
M03	con50	label	2000tt	12	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	2	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	3	P01	#	#	#63	#	#	#	#551#358#445#225#307#237#497#569#34#99#216#435#49	#	#
M03	con50	label	2000tt	3	3	P01	#	#	#	#	#	#	#551#358#445#225#307#237#497#255#569#34#607#99#216#435#49	#554	#458#280#432#403#349#534#204#577#601
M03	con50	label	2000tt	4	3	P01	#	#	#63	#	#	#	#551#358#445#307#237#497#255#569#34#607#99#435#49	#	#429#204#534
M03	con50	label	2000tt	5	3	P01	#	#	#	#	#	#	#551#358#307#237#497#255#607#99#435#49	#	#533
M03	con50	label	2000tt	6	3	P01	#	#	#63	#	#	#	#551#358#445#307#237#497#255#34#607#435	#	#
M03	con50	label	2000tt	7	3	P01	#	#	#	#	#	#	#551#255#358#34#607#445#307#237#497#435	#	#
M03	con50	label	2000tt	8	3	P01	#	#	#	#	#	#	#551#358#607#307#237#497#435	#	#
M03	con50	label	2000tt	9	3	P01	#	#	#	#	#	#	#255#358#607#307#497#435	#	#
M03	con50	label	2000tt	10	3	P01	#	#	#	#	#	#	#358#607#307#435	#	#
M03	con50	label	2000tt	11	3	P01	#	#	#	#	#	#	#358#607#307#435	#	#
M03	con50	label	2000tt	12	3	P01	#	#	#	#	#	#	#435#358#607	#	#
M03	con50	label	2000tt	13	3	P01	#	#	#	#	#	#	#435#358	#	#
M03	con50	label	2000tt	14	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	3	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	4	P01	#	#	#	#	#	#	#513#391#509#358#4#233#211#381#574#354#334#504#279#438#155#431#531	#	#360#385
M03	con50	label	2000tt	3	4	P01	#	#	#	#	#	#	#513#509#358#233#4#211#381#574#354#334#504#279#438#155#431#531#424	#	#164
M03	con50	label	2000tt	4	4	P01	#	#	#	#	#	#	#513#391#509#358#4#233#211#381#574#354#334#504#279#438#155#431#531#424	#	#526#404
M03	con50	label	2000tt	5	4	P01	#	#	#	#	#	#	#513#391#509#358#4#233#211#381#574#354#334#504#279#438#155#431#531#424	#	#
M03	con50	label	2000tt	6	4	P01	#	#	#	#	#	#	#513#391#509#358#4#233#211#381#574#354#334#504#279#438#155#431#531#424	#	#
M03	con50	label	2000tt	7	4	P01	#	#	#	#	#	#	#513#391#509#358#4#233#211#381#354#334#504#279#438#155#431#531#424	#	#
M03	con50	label	2000tt	8	4	P01	#	#	#	#	#	#	#513#391#509#358#233#381#211#354#334#504#438#155#431#531#424	#	#
M03	con50	label	2000tt	9	4	P01	#	#	#	#	#	#	#513#391#509#358#381#211#354#334#504#438#431#531#424	#	#
M03	con50	label	2000tt	10	4	P01	#	#	#	#	#	#	#513#381#334#509#358#431#531#424#354	#	#
M03	con50	label	2000tt	11	4	P01	#	#	#	#	#	#	#513#334#509#358#531#354	#	#
M03	con50	label	2000tt	12	4	P01	#	#	#	#	#	#	#513#334#509#358	#	#
M03	con50	label	2000tt	13	4	P01	#	#	#	#	#	#	#513#509	#	#
M03	con50	label	2000tt	14	4	P01	#	#	#	#	#	#	#509	#	#
M03	con50	label	2000tt	15	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	4	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	5	P01	#473#212	#552#6	#139	#	#	#	#56#597#284#358#356#429#436#574#383#460#386#451#459#481	#	#509
M03	con50	label	2000tt	3	5	P01	#473#212	#552#6	#139	#	#	#	#56#597#284#358#356#429#436#574#383#460#386#451#459#481	#	#339#414#585#550#332#413#331
M03	con50	label	2000tt	4	5	P01	#	#552	#	#	#	#	#56#597#284#358#356#429#436#574#383#460#386#451#459#481	#	#509#280#414#331
M03	con50	label	2000tt	5	5	P01	#	#	#	#	#	#	#597#284#358#356#429#436#574#383#460#386#459#481	#	#
M03	con50	label	2000tt	6	5	P01	#	#	#	#	#	#	#358#356#429#436#574#383#460#386#451#459#481	#	#
M03	con50	label	2000tt	7	5	P01	#	#	#	#	#	#	#383#460#386#356#358#429#436#481	#	#
M03	con50	label	2000tt	8	5	P01	#	#	#	#	#	#	#383#460#358#356#386#429#436#481	#	#
M03	con50	label	2000tt	9	5	P01	#	#	#	#	#	#	#383#358#356#436#481	#	#
M03	con50	label	2000tt	10	5	P01	#	#	#	#	#	#	#383#358#436#481	#	#
M03	con50	label	2000tt	11	5	P01	#	#	#	#	#	#	#383#436#481	#	#
M03	con50	label	2000tt	12	5	P01	#	#	#	#	#	#	#481	#	#
M03	con50	label	2000tt	13	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	5	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	6	P01	#434#65#401#192#212	#620#241#447#132#526#302	#83#197#415#250#399#315	#482	#	#	#372#437#234#137#555#359	#	#
M03	con50	label	2000tt	2	6	P01	#434#65#401#192#212	#620#241#447#132#526#302	#83#197#415#250#399#315	#482	#	#	#372#437#234#137#555#359	#	#
M03	con50	label	2000tt	3	6	P01	#434#65#401#212	#241#447#526	#415#250#399	#482	#	#	#437#234#555#359	#	#
M03	con50	label	2000tt	4	6	P01	#434#212	#	#415#399	#482	#	#	#234#555#359	#	#
M03	con50	label	2000tt	5	6	P01	#434#212	#	#415	#482	#	#	#234#555#359	#	#
M03	con50	label	2000tt	6	6	P01	#	#	#415#399	#482	#	#	#234#555#359	#	#
M03	con50	label	2000tt	7	6	P01	#	#241	#	#482	#	#	#359	#	#
M03	con50	label	2000tt	8	6	P01	#434	#	#	#	#	#	#359	#	#
M03	con50	label	2000tt	9	6	P01	#434	#241	#415	#	#	#	#555#359	#	#
M03	con50	label	2000tt	10	6	P01	#434	#	#415	#	#	#	#	#	#
M03	con50	label	2000tt	11	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	12	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	13	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	20	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	21	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	22	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	23	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	24	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	25	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	26	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	27	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	28	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	29	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	30	6	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	1	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	2	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	3	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	4	7	P01	#	#	#	#	#	#	#460#433#236#609#169#455	#460#280#433#236#609#493#169#455	#
M03	con50	label	2000tt	5	7	P01	#	#	#	#503	#	#	#460#433#236#609#169#455	#151#460#503#433#236#623#609#169#455	#
M03	con50	label	2000tt	6	7	P01	#	#	#	#503	#	#	#460#433#236#609#455	#151#460#503#433#236#623#609#455	#
M03	con50	label	2000tt	7	7	P01	#	#	#	#503	#	#	#460#433#236#609#169#455	#460#503#433#236#609#493#169#455	#
M03	con50	label	2000tt	8	7	P01	#	#	#	#503	#	#	#433#609#169#455	#503#433#609#493#169#455	#
M03	con50	label	2000tt	9	7	P01	#	#	#	#	#	#	#433#460#609#455	#433#460#609#455	#
M03	con50	label	2000tt	10	7	P01	#	#	#	#	#	#	#433#460#609	#433#460#609	#
M03	con50	label	2000tt	11	7	P01	#	#	#	#	#	#	#433	#433	#
M03	con50	label	2000tt	12	7	P01	#	#	#	#	#	#	#433	#433	#
M03	con50	label	2000tt	13	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	14	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	15	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	16	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	17	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	18	7	P01	#	#	#	#	#	#	#	#	#
M03	con50	label	2000tt	19	7	P01	#	#	#	#	#	#	#	#	#
